;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;SAL;CTL;DB13.SAL;DB14.SAL;DB15.SAL;DB16.SAL;C7.CTL;C8.CTL;C10.CTL;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
17239751;Snora33;100529074;-1,0644456299615;5,37067055760339;-3,54496960795013;0,000470214071654279;0,0799822667248034;-0,215932484498262;-1,0644456299615;5,05691588208291;6,12136151204441;4,34705954843963;4,73433560851175;5,40708836591586;5,73918000546441;5,63574944971158;5,82291996923535;6,90541511718631;0,393144831121026;0,763762615825973;-2,42289318875884;0,0458968172110057;7;0,575215814016407;0,386493171790642;237,986821705333
17340599;Tmem181b-ps//Dynlt1f;547127;-1,03423042617842;5,78430420817881;-3,53410320219255;0,00048898832891126;0,0806299684281335;-0,250089668963057;-1,03423042617842;5,42159190688658;6,45582233306501;5,25479400822254;5,0758958081893;5,5463289545417;5,8093488565928;6,36347533158818;6,53007498340707;6,47391668419976;0,383159577476702;0,763762615825973;-5,5475541861478;0,000862131948399618;7;0,244094143882794;0,386493171790642;237,986821705333
17407093;Lenep//Flad1;57275;-1,06974738531019;8,54381151539408;-3,52950374632467;0,00049714491574559;0,0806299684281335;-0,264519176325065;-1,06974738531019;8,33685478133432;9,40660216664451;7,91021441829901;8,0356452757243;8,95039824804886;8,45116118326512;9,04131613572469;8,57219473307459;10,6062956311343;0,396834287682978;0,763762615825973;-2,12882429067583;0,0707929971562133;7;0,657935044795314;0,386493171790642;237,986821705333
17504367;Sap18//Gm10094;20220;-1,0400178959628;8,4595954998349;-3,48696996308552;0,000578860397966856;0,0912274139593174;-0,397157892224096;-1,0400178959628;8,18439354116819;9,224411437131;7,8579717992392;7,91169273193839;8,67003394935554;8,29787568413965;8,83273473356173;9,15827833932791;9,68222123850336;0,390511842890421;0,763762615825973;-2,67743014556202;0,0316569212388123;7;0,508585842527084;0,386493171790642;237,986821705333
17443342;Hspb1;15507;-1,04385713322663;4,84109334247382;-3,47728514030205;0,000599148595119336;0,0912274139593174;-0,427157410997598;-1,04385713322663;4,52043637618819;5,56429350941481;4,22334624419425;4,4654938920122;4,78454599235073;4,60835937619556;5,23266621458352;4,85016212629275;6,61005218736816;0,39304507763327;0,763762615825973;-2,38594644083336;0,0484566564842905;7;0,572825015906756;0,386493171790642;237,986821705333
17213593;Snora41;100217464;1,07485571017109;5,06271461995154;3,46508820798038;0,000625646985348422;0,0912274139593174;-0,464831610742771;1,0748557101711;5,41500674664309;4,34015103647199;5,82375911584939;5,40625495261836;5,45854503053;4,97146788757459;4,54897841663193;3,93101206299266;4,54046262979138;0,406141600969554;0,763762615825973;1,68878682591337;0,135112461994595;7;0,833329849981945;0,386493171790642;237,986821705333
17533299;Gm14475//Gm14478//Gm14482//Gm14479//Gm14476//Gm14477//Gm14483;100042946;-1,02531103662984;4,48453887754304;-3,45428061403323;0,000650039772482891;0,0912274139593174;-0,498114815929656;-1,02531103662984;4,30278876895153;5,32809980558137;3,85183052619463;3,94095535242951;4,81083709681134;4,60753210037066;5,54552361487066;4,84814870230858;5,59062709956488;0,388632950675887;0,763762615825973;-2,94758880342403;0,0214803265796647;7;0,455439125679542;0,386493171790642;237,986821705333
17431181;Sh3bgrl3;73723;-1,02301347389109;7,14099753018281;-3,45046910626248;0,000658852581205408;0,0912274139593174;-0,509830450845353;-1,02301347389108;6,84590443173222;7,86891790562331;6,77661344670489;6,66669667445737;7,25141965729422;6,68888794847242;7,23718439777927;7,7268814412394;8,64268787785125;0,388190420051002;0,763762615825973;-3,03017586097526;0,0191098541230904;7;0,44203343739328;0,386493171790642;237,986821705333
17361921;Tm7sf2;73166;-1,01656673040562;5,9698132859718;-3,44288967433037;0,00067671056381924;0,0912274139593174;-0,533093127830452;-1,01656673040561;5,63461084187907;6,65117757228468;5,58965472123372;5,27593553669828;6,04027797125314;5,63257513833112;6,2408240218351;6,53480028919628;7,17790840582266;0,386593358794792;0,763762615825973;-3,41295423772651;0,0112425651574998;7;0,389984216151082;0,386493171790642;237,986821705333
17380694;Gtpbp5;52856;-1,01586198249881;6,8814027586911;-3,44055650546885;0,000682298257149259;0,0912274139593174;-0,54024477436022;-1,01586198249881;6,58715275297433;7,60301473547314;6,4768860586495;6,28363107636176;6,83911571274345;6,74897816414261;7,59315504042794;7,39909411860811;7,81679504738336;0,38658732953139;0,763762615825973;-3,4124189797014;0,0112507508169029;7;0,389774983512559;0,386493171790642;237,986821705333
