;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;SST;CTL;DB4.SST;DB5.SST;DB8ud.SST;C7.CTL;C8.CTL;C10.CTL;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
17547799;Gm20242;100504469;0,634965252766618;5,30416842510592;2,0038104069317;0,0461914823049417;0,121562036828175;-4,39235337429417;0,634965252766617;5,64100106373403;5,00603581096741;5,88202542689652;5,3545406356451;5,68643712866045;5,31014677186717;5,55048241995337;4,15747824108169;0,388095816923405;0,816496580927726;1,77098874412473;0,119863098272919;7;0,439116532737833;0,386493171790642;237,986821705333
17542781;F8;14069;-0,626345328782733;6,27060411925766;-2,00354689293774;0,0462199301839702;0,121591019654096;-4,39285845314017;-0,626345328782734;6,06766455815812;6,69400988694086;5,83146407284228;6,43256628251699;5,9389633191151;6,47277475928207;6,69268887133418;6,91656603020631;0,382877601642722;0,816496580927726;-3,3632955846214;0,0120300066506187;7;0,228083797527146;0,386493171790642;237,986821705333
17434210;Ccl27b//Gm13306//Gm2506//Ccl27a//Gm13308//LOC100861978//LOC100041579//LOC100862247//LOC100862220;100040048;-0,626152014573298;7,42033369732197;-2,00275053355571;0,0463059920666712;0,12177148894154;-4,39438444964654;-0,626152014573297;7,16237790620207;7,78852992077536;6,89628482048694;7,49368443552657;7,09716446259269;7,63632798145198;7,6144562611115;8,11480551976261;0,382911628638359;0,816496580927726;-3,33316879307994;0,0125364847798522;7;0,230074297513011;0,386493171790642;237,986821705333
17302578;Rpl41;67945;-0,628306448315836;10,9713508380694;-2,00249090407002;0,0463340793309842;0,1217994230133;-4,3948818290191;-0,628306448315842;10,7381666125295;11,3664730608453;10,4816432203188;11,0209546161986;10,7119020010711;11,2434449765918;11,1511680872323;11,7048061187119;0,38427894911935;0,816496580927726;-2,57009486721003;0,0370027668409982;7;0,299411165733517;0,386493171790642;237,986821705333
17512440;Zdhhc1;70796;-0,627292592110414;7,94182532684374;-2,00196895878182;0,046390588140487;0,121896411379552;-4,39588154537849;-0,627292592110413;7,68157784492898;8,30887043703939;7,44120158701305;7,96255941616336;7,64097253161052;7,99819891799189;8,15966067529994;8,76875171782633;0,38375888980649;0,816496580927726;-2,79292905837339;0,0267952293955724;7;0,275078016301857;0,386493171790642;237,986821705333
17237217;Gm5428;432502;-0,627013342877996;7,20120454143369;-2,00182366109313;0,0464063292899714;0,121896411379552;-4,39615979882805;-0,627013342877995;6,95269013708664;7,57970347996463;6,83881187261878;6,95168252974208;7,06757600889906;7,29903334148206;7,45466670503383;7,98541039337801;0,383615895300478;0,816496580927726;-2,86534460373062;0,0241522465138069;7;0,268006638707293;0,386493171790642;237,986821705333
17480636;Lipt2;67164;-0,628428457931077;6,30849842449115;-2,00166603625587;0,0464234110444639;0,121896411379552;-4,39646163739761;-0,628428457931076;6,04169931447464;6,67012777240572;5,60556825766381;6,5320505722559;5,98747911350422;6,90417968193615;6,76335885700703;6,34284477827397;0,384511960010709;0,816496580927726;-2,48516271952882;0,0418922045881982;7;0,309703877673465;0,386493171790642;237,986821705333
17227764;Rgs2;19735;-0,631847940333117;7,77550977469919;-2,00134408877061;0,0464583169407368;0,121942153686375;-4,39707806889391;-0,631847940333117;7,52115120691905;8,15299914725217;6,87797779735249;8,07335464657251;7,61212117683217;7,87170947532372;8,14280712771914;8,44448083871365;0,386666405224544;0,816496580927726;-1,97154588525657;0,0892875361557965;7;0,392510532069924;0,386493171790642;237,986821705333
17416748;Txndc12;66073;-0,632888844346572;7,75061561486751;-1,99974608216755;0,0466319037196448;0,122253278177578;-4,40013634657833;-0,632888844346573;7,49987745890933;8,1327663032559;6,78702770180072;8,06320535631463;7,64939931861263;7,93330206705332;8,03138265263547;8,43361419007891;0,387612894050151;0,816496580927726;-1,82845214241539;0,11019510294955;7;0,423925433044406;0,386493171790642;237,986821705333
17507094;Xab2;67439;-0,625909629215696;8,73011680265649;-1,99962713574896;0,0466448464537666;0,122253278177578;-4,40036389272857;-0,625909629215698;8,43590209962998;9,06181172884568;8,01296213699971;8,73532229408333;8,55942186780691;8,78558597495091;9,10852948934302;9,29131972224312;0,383361275025613;0,816496580927726;-3,00693802867059;0,0197474235467251;7;0,254936949490592;0,386493171790642;237,986821705333
17344137;Hspa1l;15482;-0,632532722919647;4,86692017996972;-1,99953894574503;0,0466544445009306;0,122253278177578;-4,40053259298224;-0,632532722919648;4,63053625125656;5,2630689741762;3,90696416426162;4,97414663372022;5,01049795578783;5,01829070780559;5,08124874333891;5,68966747138411;0,387434918450434;0,816496580927726;-1,85247418581354;0,106380143788191;7;0,418192714541378;0,386493171790642;237,986821705333
17315245;Krt18;16668;-0,635637963033733;8,28140075369196;-1,99935645568818;0,0466743108854373;0,122253278177578;-4,40088165866797;-0,635637963033735;7,9693935073776;8,60503147041134;7,20090746499215;8,63945908492081;8,06781397221986;8,2816644244693;8,47011623196154;9,06331375480318;0,389372456858576;0,816496580927726;-1,63195024808771;0,146709706602202;7;0,477033130268269;0,386493171790642;237,986821705333
17497895;Cend1;57754;-0,624908849538093;9,22923098338383;-1,99901199650579;0,0467118292086309;0,122253278177578;-4,40154045380045;-0,624908849538093;8,88911433761371;9,5140231871518;8,7250779113813;9,26478406676052;8,67748103469929;9,3359371582641;9,48592801116791;9,72020439202338;0,382866090797261;0,816496580927726;-3,36557568126311;0,0119925801558447;7;0,227406536367579;0,386493171790642;237,986821705333
17372644;Slc43a3;58207;-0,627669833828043;4,82518799909883;-1,99898764781142;0,0467144822223612;0,122253278177578;-4,40158701772316;-0,627669833828044;4,50797039129845;5,13564022512649;4,21165107904596;4,72446603777074;4,58779405707865;4,6504966978026;5,49428990351185;5,26213407406504;0,384562361228071;0,816496580927726;-2,46479333375422;0,0431610314989456;7;0,311886355493025;0,386493171790642;237,986821705333
17401650;Amigo1;229715;-0,630422314260844;7,59778769807601;-1,99893548728983;0,0467201660193292;0,122253278177578;-4,40168676654407;-0,630422314260847;7,24003179832285;7,87045411258369;6,84894670861478;7,91470631303931;6,95644237331445;7,85931112085693;8,12898624586981;7,62306497102434;0,3862588368215;0,816496580927726;-2,0414998161682;0,0805344213706696;7;0,378205518358064;0,386493171790642;237,986821705333
17357168;Stx5a;56389;-0,630281119762797;8,39795746657756;-1,99884555113444;0,046729967504464;0,122253278177578;-4,40185874943246;-0,630281119762797;8,10287421623248;8,73315533599528;7,41814865455104;8,54132814005349;8,3491458540929;8,54226468717413;8,61069301425727;9,04650830655444;0,386189702614255;0,816496580927726;-2,05450910069864;0,0790028351704018;7;0,375726526936257;0,386493171790642;237,986821705333
17469259;Suclg2;20917;-0,64405722692951;5,46493995049288;-1,99869336458091;0,0467465571717754;0,122253278177578;-4,40214975531589;-0,644057226929512;5,19328527209603;5,83734249902554;4,76404668000244;5,73625894667006;5,0795501896156;5,34192211300527;5,5094743009383;6,66063108313307;0,394660731627536;0,816496580927726;-1,29213632088263;0,23732914796953;7;0,610466382545297;0,386493171790642;237,986821705333
17329423;Sst;20604;-0,631077946416815;5,7506090797732;-1,99848201663887;0,0467696042193503;0,122253278177578;-4,4025538520328;-0,631077946416815;5,64569310435765;6,27677105077447;5,26015549457548;6,02579793378563;5,65112588471185;5,72017966314411;6,22850940863666;6,88162408054264;0,386748277886554;0,816496580927726;-1,95513174050847;0,0914734320783781;7;0,395323477343435;0,386493171790642;237,986821705333
