,SymbolsA,EntrezsA,AveExpr,B,A.PF14,A.PF19,A.PF23,A.PF39,A.PF46,B.PF24,B.PF25,B.PF28,B.PF34,B.PF42
219549_s_at,RTN3,10313,10.2126317783263,-1.84099656767683,10.2324176096148,10.7544019333698,10.3081079934194,10.8813542944978,11.3880966189704,9.60345429970599,10.0471498364555,9.30336214338974,10.2150179561822,9.81025056072561
203675_at,NUCB2,4925,9.38081992232928,-1.84445485080736,9.83558697658763,8.95706539875322,10.1461842827401,10.4658003402283,9.49238459532149,8.87273276499883,8.83204898528776,7.91433225071668,8.65410143993579,8.76169179367659
209222_s_at,OSBPL2,9885,8.8182897425882,-1.84628896418588,8.64369127472843,9.54062186822724,9.49131332561572,9.40041136003235,9.16993155379731,8.02368785710691,8.80642135240496,8.85901924867477,8.03163081178887,8.5252927124676
209891_at,SPC25,57405,5.84310954635973,-1.84656868226062,5.45457292691921,5.3257672003948,5.91630642029951,5.42154349165454,5.20751842119663,5.86229094335949,6.74997412677147,5.99659543070413,6.84840109760622,6.10283573369781
201403_s_at,MGST3,4259,11.3472721595559,-1.84768929217136,11.275017284109,10.6432759813283,10.5793112626268,10.6509066523778,10.9869908213609,11.4795806757717,11.5486107089309,11.7959806169315,11.9392642290546,11.6816037080027
219258_at,TIPIN,54962,6.33712654939217,-1.84800993874177,5.98895545362705,5.99130756528021,6.35412602054071,5.63596915836379,6.30939575134313,7.01078958758804,6.51279120454976,7.05254565121572,6.76184288370137,6.85310468793391
221518_s_at,USP47,55031,9.56984909675054,-1.84987677364486,9.50437021008074,9.50381298795293,10.219548561958,9.97977549694249,10.0299800520545,8.89500717138641,9.18307801333224,9.10691500196399,9.34008161618288,9.11994276088007
212179_at,PNISR,25957,8.99899111392186,-1.86329379459249,8.46049976944273,7.95638887735422,8.7863010941581,7.96708781329397,8.28114534847291,9.10796341239275,9.66271881585033,9.14430167223251,9.89583525247664,9.10241581500201
202591_s_at,SSBP1,6742,10.6449774011585,-1.86502968093851,10.5978355194725,9.69117399121333,10.3534931670533,10.2152463229849,10.3434441340375,11.1002248227811,10.5338622574114,10.9041512912656,11.3539402463572,11.0690356934292
218910_at,ANO10,55129,8.79637420279044,-1.86698432179938,9.66922885695477,8.73571255971051,8.85083250901248,9.83131696484771,9.39432691585503,8.51199781991874,8.72820690363118,8.65365935429405,8.19755516273971,8.41512679884787
203062_s_at,MDC1,9656,8.55680053500093,-1.86933571521847,8.01668959329967,8.17812922883147,8.83995524695269,7.89812139393925,7.57774967465336,8.67929729703076,8.64983345213955,9.11501125281649,9.27370994187184,8.91147303257589
202299_s_at,LAMTOR5,10542,10.6142069462178,-1.87058303169536,10.437974845202,10.4666310720185,10.4748406295472,10.3326416037866,9.73632162505977,10.9262404367468,11.1298675812941,10.9181848610423,11.0801982675567,10.987573867882
209481_at,SNRK,54861,9.08987206997591,-1.87350231754623,8.74045582476193,8.16873698492025,8.39302072791519,8.88926109398842,8.73118565283983,9.61056088659185,9.64881647854837,9.31315241131587,8.89432265107807,9.3482748628434
217949_s_at,VKORC1,79001,10.1161334571176,-1.87756834791317,9.91208393995904,10.0250142818571,10.0138540209495,9.73041088969354,9.44847526863847,10.6317257801452,10.6776527065758,10.5379556121599,10.92303768844,9.95441346441865
218663_at,NCAPG,64151,6.40018395878433,-1.87761326497522,5.81446036863929,5.87455005024109,6.62114127347871,6.15471906814825,5.85187112264705,6.63574216256266,7.06841697012895,6.93038382108287,7.15124789321767,6.6528971148428
218174_s_at,TMEM254,80195,6.80916266498648,-1.8816384042256,7.33976151012042,6.82767630573308,8.03460548199398,7.55072241464087,7.47900417106639,5.65083409837906,7.73117366529986,6.20069227452361,6.22383751675754,5.83755455869899
202626_s_at,LYN,4067,9.5375852618526,-1.88188706443571,9.13754195736107,9.36021209203963,8.79710177132064,9.4836220943966,9.32507862307123,10.6990782169499,10.2528081697283,10.7889070406065,9.08975200883669,10.4557056746662
219434_at,TREM1,54210,8.66096757474746,-1.8850830775313,8.44037384653323,8.40958858237498,8.20704264384712,8.66297118226799,8.59803395539202,9.66270543482227,9.96358421384962,9.16114497086526,8.61899103880289,9.03961040199856
218241_at,GOLGA5,9950,9.57400718069655,-1.88696028300067,10.1458215334523,9.40651386952751,10.1415157213662,9.88532174373793,10.0892174641946,9.40260586941293,8.86587244440328,9.49635367321397,8.79854896576123,9.17206373997812
209624_s_at,MCCC2,64087,8.17316550809502,-1.8934789265008,8.29982023131599,8.50239050942424,9.30755157617006,10.3684240218892,7.84918136768243,7.10169279422986,7.45380956734676,7.79782217795899,7.20798326180305,8.18357131958682
203358_s_at,EZH2,2146,8.05039793890722,-1.89415631641001,7.87256600519114,7.03639865105357,7.44037426206201,7.52589609778246,7.83665005998894,7.67525685342671,8.01205924189008,8.94288796525149,9.90853869306754,8.81277323356471
202052_s_at,RAI14,26064,9.19663871586848,-1.8953468466244,8.71989629647638,9.08595910369743,8.60435516381071,8.19643880833624,9.23019831370754,10.3764128049249,9.81290215520866,9.45121257567307,9.13549559434196,9.68818801923599
213093_at,PRKCA,5578,7.48285554512163,-1.89685287171995,7.27685164146186,7.14226141856366,6.74949316454712,7.24734217846591,7.36902249865432,8.05699471044785,7.31851720058753,7.84046997022713,8.11325896799103,8.94253613659167
201177_s_at,UBA2,10054,9.57380929315326,-1.90173031776744,9.61955157497065,8.97807806174579,9.44145085236346,8.55045854364589,8.83075219467027,9.50386048655529,9.63593071180217,10.9730399475173,10.0640159132864,10.0816042149879
205047_s_at,ASNS,440,9.12536137021361,-1.90424848361488,8.79348474515037,9.25848176224074,8.52492792356678,8.52799670688657,8.77116554371299,8.91608778534477,10.4788300891831,9.51057759576894,10.2111455253171,10.1020610581907
